smiles,prompt,completion,chemdfm_text
CSCCCC=O,What are the primary odors and sub-odors of this molecule: CSCCCC=O?,"The primary odors present in this molecule are: Septic, Vegetables, Nature, Sulp, Hydrocar, Cabbage, Chemical, Alliaceous, Marshy, Sulphur, Sickening. The sub-odors are: Cabbage, Sulphurous, Garlic.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CSCCCC=O?
Assistant: The primary odors present in this molecule are: Septic, Vegetables, Nature, Sulp, Hydrocar, Cabbage, Chemical, Alliaceous, Marshy, Sulphur, Sickening. The sub-odors are: Cabbage, Sulphurous, Garlic."
CC(C)OCCc1ccccc1,What are the primary odors and sub-odors of this molecule: CC(C)OCCc1ccccc1?,"The primary odors present in this molecule are: Food, Non-food items, Vegetation, Fruity, Fuel, Nose Feel, Spices, Vegetables, Hydrocarbo, Green, Metallic, Solvent, Chemical, Hydrocar, Fragrant, Gas Station, Floral. The sub-odors are: Rose, Metallic, Spices, Green, Plastic, Watercress, Foliage.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)OCCc1ccccc1?
Assistant: The primary odors present in this molecule are: Food, Non-food items, Vegetation, Fruity, Fuel, Nose Feel, Spices, Vegetables, Hydrocarbo, Green, Metallic, Solvent, Chemical, Hydrocar, Fragrant, Gas Station, Floral. The sub-odors are: Rose, Metallic, Spices, Green, Plastic, Watercress, Foliage."
CCc1cccnc1,What are the primary odors and sub-odors of this molecule: CCc1cccnc1?,"The primary odors present in this molecule are: Smokey, Restaurant, Mol, Nutty, Musty, Mossy woods, Fragrant, Bakery, Tobacco smoke, Sickening, Caramel, Earthy, Food, Fruity, Other, Non-vegetarian, Dry woods, People & animals, Non-food items, Pungent, Resinous, Herbaceous, Green, Woody, Sharp, Sweet. The sub-odors are: Earthy, Smokey, Roasted, Meaty, Nutty, Green, Moldy, Leather, Strong, Caramel, Peanut, Tobacco, Oak Moss, Musty, Coffee.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCc1cccnc1?
Assistant: The primary odors present in this molecule are: Smokey, Restaurant, Mol, Nutty, Musty, Mossy woods, Fragrant, Bakery, Tobacco smoke, Sickening, Caramel, Earthy, Food, Fruity, Other, Non-vegetarian, Dry woods, People & animals, Non-food items, Pungent, Resinous, Herbaceous, Green, Woody, Sharp, Sweet. The sub-odors are: Earthy, Smokey, Roasted, Meaty, Nutty, Green, Moldy, Leather, Strong, Caramel, Peanut, Tobacco, Oak Moss, Musty, Coffee."
CC(C)C1=CCC(C(=O)O)CC1,What are the primary odors and sub-odors of this molecule: CC(C)C1=CCC(C(=O)O)CC1?,"The primary odors present in this molecule are: Rancid, Food, Pungent, Putrid, Sharp, Spices, People & animals, Microbiological. The sub-odors are: Sweaty, Cumin, Spices, Animal.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)C1=CCC(C(=O)O)CC1?
Assistant: The primary odors present in this molecule are: Rancid, Food, Pungent, Putrid, Sharp, Spices, People & animals, Microbiological. The sub-odors are: Sweaty, Cumin, Spices, Animal."
CC1CCC(C(C)C)C(=O)C1,What are the primary odors and sub-odors of this molecule: CC1CCC(C(C)C)C(=O)C1?,"The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Spices, Lemon, Fresh, Woody, Green, Minty, Resinous, Chemical, Grassy, Sweet, Hydrocar, Fragrant, Herbaceous. The sub-odors are: Woody, Ether, Menthol, Green, Cool, Herbal, Berry, Anisic, Fresh, Camphor, Peppermint, Sweet, Peach, Minty, Raspberry.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC1CCC(C(C)C)C(=O)C1?
Assistant: The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Spices, Lemon, Fresh, Woody, Green, Minty, Resinous, Chemical, Grassy, Sweet, Hydrocar, Fragrant, Herbaceous. The sub-odors are: Woody, Ether, Menthol, Green, Cool, Herbal, Berry, Anisic, Fresh, Camphor, Peppermint, Sweet, Peach, Minty, Raspberry."
CCCCCCC1CCOC1=O,What are the primary odors and sub-odors of this molecule: CCCCCCC1CCOC1=O?,"The primary odors present in this molecule are: Fruity, Nature, Woody, Green, Lem, Grassy, Sweet, Terpenes, Fragrant, Floral, Pine. The sub-odors are: Grassy, Green, Floral, Fruity, Sweet, Grassy(Green, Sharp).","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCCCC1CCOC1=O?
Assistant: The primary odors present in this molecule are: Fruity, Nature, Woody, Green, Lem, Grassy, Sweet, Terpenes, Fragrant, Floral, Pine. The sub-odors are: Grassy, Green, Floral, Fruity, Sweet, Grassy(Green, Sharp)."
CCCCC(C)(C)CO,What are the primary odors and sub-odors of this molecule: CCCCC(C)(C)CO?,"The primary odors present in this molecule are: Pungent, Vegetation, Nose Feel, Aromatic, Foul, Woody, Resinous, Sharp, Fragrant, Herbaceous, Sickening. The sub-odors are: Herbal, Pungent.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCC(C)(C)CO?
Assistant: The primary odors present in this molecule are: Pungent, Vegetation, Nose Feel, Aromatic, Foul, Woody, Resinous, Sharp, Fragrant, Herbaceous, Sickening. The sub-odors are: Herbal, Pungent."
CCCCCCCCOC(=O)C(C)CC,What are the primary odors and sub-odors of this molecule: CCCCCCCCOC(=O)C(C)CC?,"The primary odors present in this molecule are: Earthy, Pungent, Fruity, Nature, Mol, Green, Woody, Waxy, Musty, Resinous, Chemical, Sharp, Sweet, Hydrocar, Fragrant, Microbiological. The sub-odors are: Earthy, Green, Moldy, Waxy, Fruity, Musty, Lactonic.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCCCCCOC(=O)C(C)CC?
Assistant: The primary odors present in this molecule are: Earthy, Pungent, Fruity, Nature, Mol, Green, Woody, Waxy, Musty, Resinous, Chemical, Sharp, Sweet, Hydrocar, Fragrant, Microbiological. The sub-odors are: Earthy, Green, Moldy, Waxy, Fruity, Musty, Lactonic."
C=CCSSCC=C,What are the primary odors and sub-odors of this molecule: C=CCSSCC=C?,"The primary odors present in this molecule are: Septic, Marshy, Fruity, Nature, Nose Feel, Vegetables, Sulp, Green, Metallic, Cabbage, Chemical, Alliaceous, Hydrocar, Fragrant, Sulphur, Sickening. The sub-odors are: Metallic, Onion, Green, Alliaceous, Garlic, Sulphurous.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: C=CCSSCC=C?
Assistant: The primary odors present in this molecule are: Septic, Marshy, Fruity, Nature, Nose Feel, Vegetables, Sulp, Green, Metallic, Cabbage, Chemical, Alliaceous, Hydrocar, Fragrant, Sulphur, Sickening. The sub-odors are: Metallic, Onion, Green, Alliaceous, Garlic, Sulphurous."
CC1=CCC(C(C)(C)OC(=O)c2ccccc2)CC1,What are the primary odors and sub-odors of this molecule: CC1=CCC(C(C)(C)OC(=O)c2ccccc2)CC1?,"The primary odors present in this molecule are: Nature, Balsamic, Woody, Resinous, Grassy, Fragrant, Floral, Plants, Microbiological. The sub-odors are: Woody, Balsamic, Floral, Ylang, Cypress.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC1=CCC(C(C)(C)OC(=O)c2ccccc2)CC1?
Assistant: The primary odors present in this molecule are: Nature, Balsamic, Woody, Resinous, Grassy, Fragrant, Floral, Plants, Microbiological. The sub-odors are: Woody, Balsamic, Floral, Ylang, Cypress."
C=CC(C)(O)CC=CC(=C)C,What are the primary odors and sub-odors of this molecule: C=CC(C)(O)CC=CC(=C)C?,"The primary odors present in this molecule are: Food, Earthy, Pungent, Vegetation, Fruity, Nature, Vegetables, Woody, Resinous, Microbial, Sharp, Spices, Fragrant, Sweet, Floral. The sub-odors are: Fungal, Spices, Tropical, Hyacinth, Floral, Fennel, Mouldy, Sweet, Ginger.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: C=CC(C)(O)CC=CC(=C)C?
Assistant: The primary odors present in this molecule are: Food, Earthy, Pungent, Vegetation, Fruity, Nature, Vegetables, Woody, Resinous, Microbial, Sharp, Spices, Fragrant, Sweet, Floral. The sub-odors are: Fungal, Spices, Tropical, Hyacinth, Floral, Fennel, Mouldy, Sweet, Ginger."
CCCC(=O)C(CC)Cc1ccccc1,What are the primary odors and sub-odors of this molecule: CCCC(=O)C(CC)Cc1ccccc1?,"The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Nature, Woody, Resinous, Grassy, Sweet, Fragrant, Dry fruit, Herbaceous. The sub-odors are: Woody, Raisin, Herbal, Berry, Plum, Fruity, Minty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCC(=O)C(CC)Cc1ccccc1?
Assistant: The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Nature, Woody, Resinous, Grassy, Sweet, Fragrant, Dry fruit, Herbaceous. The sub-odors are: Woody, Raisin, Herbal, Berry, Plum, Fruity, Minty."
C=C(C)C1CCC(C)C1C=O,What are the primary odors and sub-odors of this molecule: C=C(C)C1CCC(C)C1C=O?,"The primary odors present in this molecule are: Vegetation, Aromatic, Woody, Minty, Resinous, Sweet, Fragrant, Herbaceous. The sub-odors are: Camphor, Herbal, Minty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: C=C(C)C1CCC(C)C1C=O?
Assistant: The primary odors present in this molecule are: Vegetation, Aromatic, Woody, Minty, Resinous, Sweet, Fragrant, Herbaceous. The sub-odors are: Camphor, Herbal, Minty."
O=C(Nc1ccc2c(c1)C(O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)c1c(F)c(F)c(F)c(F)c1F,What are the primary odors and sub-odors of this molecule: O=C(Nc1ccc2c(c1)C(O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)c1c(F)c(F)c(F)c(F)c1F?,"The primary odors present in this molecule are: Vegetation, Fruity, Nature, Minty, Sweet, Fragrant. The sub-odors are: Fruity, Menthol, Valerian root, Sweet.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: O=C(Nc1ccc2c(c1)C(O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)c1c(F)c(F)c(F)c(F)c1F?
Assistant: The primary odors present in this molecule are: Vegetation, Fruity, Nature, Minty, Sweet, Fragrant. The sub-odors are: Fruity, Menthol, Valerian root, Sweet."
CC(C)C1=CCC(CCOC=O)=CC1,What are the primary odors and sub-odors of this molecule: CC(C)C1=CCC(CCOC=O)=CC1?,"The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Nature, Woody, Resinous, Sweet, Fragrant, Floral, Herbaceous. The sub-odors are: Herbal, Floral, Fruity, Sweet, Minty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)C1=CCC(CCOC=O)=CC1?
Assistant: The primary odors present in this molecule are: Vegetation, Fruity, Aromatic, Nature, Woody, Resinous, Sweet, Fragrant, Floral, Herbaceous. The sub-odors are: Herbal, Floral, Fruity, Sweet, Minty."
CC1=CC2=CC(=O)CCC2CC1,What are the primary odors and sub-odors of this molecule: CC1=CC2=CC(=O)CCC2CC1?,"The primary odors present in this molecule are: Fruity, Nature, Sweet, Fragrant, Bakery, Plants. The sub-odors are: Toasty, Fruity, Tonka.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC1=CC2=CC(=O)CCC2CC1?
Assistant: The primary odors present in this molecule are: Fruity, Nature, Sweet, Fragrant, Bakery, Plants. The sub-odors are: Toasty, Fruity, Tonka."
Cc1ccc(O)cc1C,What are the primary odors and sub-odors of this molecule: Cc1ccc(O)cc1C?,"The primary odors present in this molecule are: Burnt, Sickening. The sub-odors are: Burnt.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: Cc1ccc(O)cc1C?
Assistant: The primary odors present in this molecule are: Burnt, Sickening. The sub-odors are: Burnt."
CC1=CC2OCC(C)C2CC1,What are the primary odors and sub-odors of this molecule: CC1=CC2OCC(C)C2CC1?,"The primary odors present in this molecule are: Vegetation, Nature, Aromatic, Woody, Resinous, Sweet, Spices, Fragrant, Floral, Herbaceous. The sub-odors are: Dill, Herbal, Floral, Minty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC1=CC2OCC(C)C2CC1?
Assistant: The primary odors present in this molecule are: Vegetation, Nature, Aromatic, Woody, Resinous, Sweet, Spices, Fragrant, Floral, Herbaceous. The sub-odors are: Dill, Herbal, Floral, Minty."
CCCCCC(=O)OCC(C)C,What are the primary odors and sub-odors of this molecule: CCCCCC(=O)OCC(C)C?,"The primary odors present in this molecule are: Caramel, Fruity, Nature, Chocolate, Green, Non-citrus fruity, Estery, Sweet, Fragrant. The sub-odors are: Apple, Tropical, Green, Chocolate, Estery, Fruity, Sweet, Peach, Pineapple.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCCC(=O)OCC(C)C?
Assistant: The primary odors present in this molecule are: Caramel, Fruity, Nature, Chocolate, Green, Non-citrus fruity, Estery, Sweet, Fragrant. The sub-odors are: Apple, Tropical, Green, Chocolate, Estery, Fruity, Sweet, Peach, Pineapple."
COC(=O)CCC(=O)OC,What are the primary odors and sub-odors of this molecule: COC(=O)CCC(=O)OC?,"The primary odors present in this molecule are: Fruity, Nature, Green, Sweet, Fragrant, Floral, Beverage. The sub-odors are: Green, Floral, Fruity, Winey, Sweet.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: COC(=O)CCC(=O)OC?
Assistant: The primary odors present in this molecule are: Fruity, Nature, Green, Sweet, Fragrant, Floral, Beverage. The sub-odors are: Green, Floral, Fruity, Winey, Sweet."
CCC=C(C)C=O,What are the primary odors and sub-odors of this molecule: CCC=C(C)C=O?,"The primary odors present in this molecule are: Pungent, Fruity, Nature, Nose Feel, Foul, Woody, Green, Lem, Chemical, Grassy, Other, Sharp, Hydrocar, Fragrant, Sweet, Terpenes, Pine, Sickening. The sub-odors are: Grassy, Green, Aldehydic, Ripe, Pungent, Gassy, Fruity, Juicy, Grassy(Green, Sharp).","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCC=C(C)C=O?
Assistant: The primary odors present in this molecule are: Pungent, Fruity, Nature, Nose Feel, Foul, Woody, Green, Lem, Chemical, Grassy, Other, Sharp, Hydrocar, Fragrant, Sweet, Terpenes, Pine, Sickening. The sub-odors are: Grassy, Green, Aldehydic, Ripe, Pungent, Gassy, Fruity, Juicy, Grassy(Green, Sharp)."
CCCCCCCCCCC=O,What are the primary odors and sub-odors of this molecule: CCCCCCCCCCC=O?,"The primary odors present in this molecule are: Cloth, Vegetables, Water, Chemical, Fragrant, Sickening, Fruity, Lemon, Hydrocar, Non-food items, Pungent, Nose Feel, Foul, Citrus, Nature, Green, Non-citrus fruity, Waxy, Sharp, Sweet, Floral. The sub-odors are: Rose, Clothes, Laundered cloth, Citrus, Green, Water, Floral, Aldehydic, Pungent, Waxy, Fruity, Oily, Juicy, Melon, Sweet, Cilantro, Orange, Pineapple.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCCCCCCCC=O?
Assistant: The primary odors present in this molecule are: Cloth, Vegetables, Water, Chemical, Fragrant, Sickening, Fruity, Lemon, Hydrocar, Non-food items, Pungent, Nose Feel, Foul, Citrus, Nature, Green, Non-citrus fruity, Waxy, Sharp, Sweet, Floral. The sub-odors are: Rose, Clothes, Laundered cloth, Citrus, Green, Water, Floral, Aldehydic, Pungent, Waxy, Fruity, Oily, Juicy, Melon, Sweet, Cilantro, Orange, Pineapple."
CCCC=CC(OC)OC,What are the primary odors and sub-odors of this molecule: CCCC=CC(OC)OC?,"The primary odors present in this molecule are: Fragrant, Sweet, Fruity, Nature. The sub-odors are: Apple, Fruity.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCC=CC(OC)OC?
Assistant: The primary odors present in this molecule are: Fragrant, Sweet, Fruity, Nature. The sub-odors are: Apple, Fruity."
CC(C)=CCCC1=CCCC(C#N)C1,What are the primary odors and sub-odors of this molecule: CC(C)=CCCC1=CCCC(C#N)C1?,"The primary odors present in this molecule are: Chlorinous, Cloth, Non-food items, Fruity, Lemon, Water, Fragrant, Ozonou. The sub-odors are: Clothes, Laundered cloth, Linen, Citrus, Ozone, Marine.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)=CCCC1=CCCC(C#N)C1?
Assistant: The primary odors present in this molecule are: Chlorinous, Cloth, Non-food items, Fruity, Lemon, Water, Fragrant, Ozonou. The sub-odors are: Clothes, Laundered cloth, Linen, Citrus, Ozone, Marine."
CC(C)=CC(=O)SC(C)C,What are the primary odors and sub-odors of this molecule: CC(C)=CC(=O)SC(C)C?,"The primary odors present in this molecule are: Septic, Vegetables, Mol, Musty, Chemical, Fragrant, Sickening, Food, Earthy, Fruity, Sulp, Alliaceous, Hydrocar, Non-vegetarian, Pungent, Resinous, Poultry, Plants, Sulphur, Nature, Green, Woody, Cabbage, Sharp, Marshy. The sub-odors are: Earthy, Onion, Meaty, Tropical, Green, Eggs, Alliaceous, Sulphurous, Galbanum, Musty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)=CC(=O)SC(C)C?
Assistant: The primary odors present in this molecule are: Septic, Vegetables, Mol, Musty, Chemical, Fragrant, Sickening, Food, Earthy, Fruity, Sulp, Alliaceous, Hydrocar, Non-vegetarian, Pungent, Resinous, Poultry, Plants, Sulphur, Nature, Green, Woody, Cabbage, Sharp, Marshy. The sub-odors are: Earthy, Onion, Meaty, Tropical, Green, Eggs, Alliaceous, Sulphurous, Galbanum, Musty."
CCCCCCCOC(=O)c1ccccc1,What are the primary odors and sub-odors of this molecule: CCCCCCCOC(=O)c1ccccc1?,"The primary odors present in this molecule are: Plants, Vegetation, Fruity, Aromatic, Nose Feel, Balsamic, Green, Woody, Metallic, Resinous, Fragrant, Herbaceous. The sub-odors are: Metallic, Balsamic, Green, Herbal, Leafy, Sage.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCCCCOC(=O)c1ccccc1?
Assistant: The primary odors present in this molecule are: Plants, Vegetation, Fruity, Aromatic, Nose Feel, Balsamic, Green, Woody, Metallic, Resinous, Fragrant, Herbaceous. The sub-odors are: Metallic, Balsamic, Green, Herbal, Leafy, Sage."
CC(C)c1cnccn1,What are the primary odors and sub-odors of this molecule: CC(C)c1cnccn1?,"The primary odors present in this molecule are: Caramel, Fruity, Green, Nutty, Sweet, Fragrant. The sub-odors are: Green, Nutty, Minty, Honey.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)c1cnccn1?
Assistant: The primary odors present in this molecule are: Caramel, Fruity, Green, Nutty, Sweet, Fragrant. The sub-odors are: Green, Nutty, Minty, Honey."
CCCOC(=O)c1ccccc1,What are the primary odors and sub-odors of this molecule: CCCOC(=O)c1ccccc1?,"The primary odors present in this molecule are: Balsamic, Nutty. The sub-odors are: Balsamic, Nutty.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCOC(=O)c1ccccc1?
Assistant: The primary odors present in this molecule are: Balsamic, Nutty. The sub-odors are: Balsamic, Nutty."
CCCCN,What are the primary odors and sub-odors of this molecule: CCCCN?,"The primary odors present in this molecule are: Fishy, Rancid, Food, Ammonia, Non-vegetarian. The sub-odors are: Fishy, Meaty, Ammonia.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CCCCN?
Assistant: The primary odors present in this molecule are: Fishy, Rancid, Food, Ammonia, Non-vegetarian. The sub-odors are: Fishy, Meaty, Ammonia."
CC(C)CCOC=O,What are the primary odors and sub-odors of this molecule: CC(C)CCOC=O?,"The primary odors present in this molecule are: Mol, Musty, Chemical, Fragrant, Sickening, Earthy, Fruity, Lemon, Hydrocar, Dry, Pungent, Vegetation, Nose Feel, Resinous, Beverage, Nature, Woody, Green, Waxy, Grassy, Estery, Sharp, Sweet. The sub-odors are: Sweet, Earthy, Ether, Dry, Apple, Cortex, Green, Grassy(Green, Sharp), Waxy, Estery, Fruity, Plum, Winey, Musty, Sharp, Vinous.","[Round 0]
Human: What are the primary odors and sub-odors of this molecule: CC(C)CCOC=O?
Assistant: The primary odors present in this molecule are: Mol, Musty, Chemical, Fragrant, Sickening, Earthy, Fruity, Lemon, Hydrocar, Dry, Pungent, Vegetation, Nose Feel, Resinous, Beverage, Nature, Woody, Green, Waxy, Grassy, Estery, Sharp, Sweet. The sub-odors are: Sweet, Earthy, Ether, Dry, Apple, Cortex, Green, Grassy(Green, Sharp), Waxy, Estery, Fruity, Plum, Winey, Musty, Sharp, Vinous."
